beat,start,end,duration,section,asset_class,shorts_relation,narration
LP-B001,00:00:00.000,00:00:10.500,10.500,0,ARCHIVE_PHOTO,—,"On November 20, 1980, a drilling crew on Lake Peigneur had a problem. More than a thousand feet below them, a salt mine had a different one."
LP-B002,00:00:11.100,00:00:22.460,11.360,0,RECONSTRUCTION,—,"At the surface, the drill assembly was stuck at roughly twelve hundred and twenty-eight feet. Underground, workers were finding water where water should never have been. In a salt mine."
LP-B003,00:00:22.825,00:00:34.060,11.235,0,MAP_GFX,—,"Fifty-two people were below ground. Seven more were on the drilling platform above them. Within hours, the platform would be gone. Part of the shoreline would be gone."
LP-B004,00:00:34.760,00:00:46.520,11.760,0,ARCHIVE_PHOTO,—,And the canal connected to the lake would begin flowing in the wrong direction. Everyone would survive. But the industrial landscape beneath Jefferson Island would never be the same.
LP-B005,00:00:47.640,00:00:53.980,6.340,0,DOCUMENT,—,What happened here is often reduced to one bad drilling mistake. The real story is larger.
LP-B006,00:00:53.980,00:01:03.080,9.100,0,TITLE_CARD,—,It is about two industrial systems occupying the same geology — and what happened when the boundary between them disappeared.
LP-B007,00:01:04.180,00:01:14.460,10.280,1,MAP_GFX,—,Lake Peigneur looked simple from the surface. A shallow Louisiana lake. Trees and gardens around Jefferson Island. A drilling platform floating on the water.
LP-B008,00:01:15.260,00:01:28.540,13.280,1,DOCUMENT,—,But the landscape was three-dimensional. Jefferson Island rises above the coastal plain because of a salt dome — a mass of ancient salt pushed upward through younger sediments.
LP-B009,00:01:29.340,00:01:36.740,7.400,1,GFX,—,"That hidden salt created industrial value long before the disaster. For decades, it had been mined."
LP-B010,00:01:37.740,00:01:43.900,6.160,1,ARCHIVE_PHOTO,—,"By 1980, Diamond Crystal Salt Company operated a room-and-pillar mine beneath the area."
LP-B011,00:01:44.500,00:01:57.580,13.080,1,TECH_DRAWING,—,"In a room-and-pillar mine, workers remove large volumes of material while deliberately leaving columns behind to support the roof. That means the underground is not one giant empty cave."
LP-B012,00:01:58.400,00:02:11.780,13.380,1,GFX,—,"It is a network of rooms, pillars, passages and working levels. Federal records describe workings around eight hundred, one thousand, thirteen hundred and fifteen hundred feet below the surface."
LP-B013,00:02:12.500,00:02:24.760,12.260,1,MAP_GFX,—,"At the same time, the same salt structure made the area interesting to the petroleum industry. Oil can accumulate around salt structures. Texaco held an oil lease beneath Lake Peigneur."
LP-B014,00:02:25.680,00:02:37.460,11.780,1,DOCUMENT,—,Wilson Brothers was drilling the exploratory well from a floating platform. So one industry was moving horizontally through the salt underground. Another was drilling vertically from the lake above.
LP-B015,00:02:38.220,00:02:51.240,13.020,1,GFX,—,Each could work safely only if the geometry separating them remained understood. And there was one physical rule that made that separation critical. Fresh water dissolves salt.
LP-B016,00:02:52.100,00:03:06.240,14.140,2,TECH_DRAWING,—,"That morning, the drill assembly would not come free. Later reconstructions placed it at roughly twelve hundred and twenty-eight feet — close enough to the mine's thirteen-hundred-foot level to become central to the investigation."
LP-B017,00:03:07.180,00:03:20.180,13.000,2,DOCUMENT,—,"Then the problem changed. Water began entering the mine. For the people underground, that transformed the situation immediately. Salt mines are built to manage normal underground conditions."
LP-B018,00:03:20.800,00:03:32.920,12.120,2,RECONSTRUCTION,—,"They are not designed to accept a lake. And because the surrounding structure itself was soluble, no one could assume that an opening would remain the same size once water began moving through it."
LP-B019,00:03:33.410,00:03:44.080,10.670,2,GFX,—,"At that point, nobody underground needed a final answer about maps, coordinates or legal responsibility. They needed time."
LP-B020,00:03:45.200,00:03:54.920,9.720,2,TECH_DRAWING,—,What exactly connected the drilling operation to the mine would become the great argument after the disaster. The connection itself was now the emergency.
LP-B021,00:03:55.900,00:04:04.780,8.880,3,ARCHIVE_PHOTO,SHORT-02,The Mine Safety and Health Administration later recorded fifty-two people underground. They were not standing together beside an exit.
LP-B022,00:04:05.480,00:04:13.040,7.560,3,DOCUMENT,SHORT-02,They were working inside a mine spread through multiple levels and workings. Now water was entering that system.
