"ASSET_ID","TYPE","BEATS","PROMPT","SOURCE_FILES","NUMBERS_TO_RENDER","EDITOR_NOTES"
"LP-GFX-001","GENERATED_GFX","LP-B003","16:9 1920x1080 Hidden Industrial America editorial documentary frame; charcoal #171A1C, iron #30363A, warm paper #E6DDC8, ivory #F3EBDD, faded rust #A55235, blueprint gray-blue #5F747D; clean cinematic composition; lower 15% kept visually quiet for captions; no black caption box; no neon; no horror; no flag/eagle/gear iconography; no fake archival damage; no fake date stamp; no invented newspaper; no logos unless source-grounded; no text except explicitly requested numbers. Create a precise editorial infographic/technical illustration for: 52 underground / 7 surface split-level count. Use restrained blueprint-like geometry and physical spatial clarity; visually understandable without dense labels. Render only the numbers listed in NUMBERS_TO_RENDER when present; all other labels added by editor.","LP-S01;LP-S02","52;7","Generate as finished visual base; typography beyond listed numbers remains editor-native; preserve factual uncertainty; do not imitate a historical document."
"LP-GFX-002","GENERATED_GFX","LP-B004","16:9 1920x1080 Hidden Industrial America editorial documentary frame; charcoal #171A1C, iron #30363A, warm paper #E6DDC8, ivory #F3EBDD, faded rust #A55235, blueprint gray-blue #5F747D; clean cinematic composition; lower 15% kept visually quiet for captions; no black caption box; no neon; no horror; no flag/eagle/gear iconography; no fake archival damage; no fake date stamp; no invented newspaper; no logos unless source-grounded; no text except explicitly requested numbers. Create a precise editorial infographic/technical illustration for: Lake–Delcambre system before reversal. Use restrained blueprint-like geometry and physical spatial clarity; visually understandable without dense labels. Render only the numbers listed in NUMBERS_TO_RENDER when present; all other labels added by editor.","LP-S06;LP-S07","","Generate as finished visual base; typography beyond listed numbers remains editor-native; preserve factual uncertainty; do not imitate a historical document."
"LP-GFX-003","GENERATED_GFX","LP-B006","16:9 1920x1080 Hidden Industrial America editorial documentary frame; charcoal #171A1C, iron #30363A, warm paper #E6DDC8, ivory #F3EBDD, faded rust #A55235, blueprint gray-blue #5F747D; clean cinematic composition; lower 15% kept visually quiet for captions; no black caption box; no neon; no horror; no flag/eagle/gear iconography; no fake archival damage; no fake date stamp; no invented newspaper; no logos unless source-grounded; no text except explicitly requested numbers. Create a precise editorial infographic/technical illustration for: two industrial systems occupying one salt dome. Use restrained blueprint-like geometry and physical spatial clarity; visually understandable without dense labels. Render only the numbers listed in NUMBERS_TO_RENDER when present; all other labels added by editor.","LP-S01;LP-S04","","Generate as finished visual base; typography beyond listed numbers remains editor-native; preserve factual uncertainty; do not imitate a historical document."
"LP-GFX-004","GENERATED_GFX","LP-B008","16:9 1920x1080 Hidden Industrial America editorial documentary frame; charcoal #171A1C, iron #30363A, warm paper #E6DDC8, ivory #F3EBDD, faded rust #A55235, blueprint gray-blue #5F747D; clean cinematic composition; lower 15% kept visually quiet for captions; no black caption box; no neon; no horror; no flag/eagle/gear iconography; no fake archival damage; no fake date stamp; no invented newspaper; no logos unless source-grounded; no text except explicitly requested numbers. Create a precise editorial infographic/technical illustration for: salt dome rising through coastal sediments. Use restrained blueprint-like geometry and physical spatial clarity; visually understandable without dense labels. Render only the numbers listed in NUMBERS_TO_RENDER when present; all other labels added by editor.","LP-S04;LP-S05","","Generate as finished visual base; typography beyond listed numbers remains editor-native; preserve factual uncertainty; do not imitate a historical document."
"LP-GFX-005","GENERATED_GFX","LP-B009","16:9 1920x1080 Hidden Industrial America editorial documentary frame; charcoal #171A1C, iron #30363A, warm paper #E6DDC8, ivory #F3EBDD, faded rust #A55235, blueprint gray-blue #5F747D; clean cinematic composition; lower 15% kept visually quiet for captions; no black caption box; no neon; no horror; no flag/eagle/gear iconography; no fake archival damage; no fake date stamp; no invented newspaper; no logos unless source-grounded; no text except explicitly requested numbers. Create a precise editorial infographic/technical illustration for: salt mining inside dome. Use restrained blueprint-like geometry and physical spatial clarity; visually understandable without dense labels. Render only the numbers listed in NUMBERS_TO_RENDER when present; all other labels added by editor.","LP-S01;LP-S04","","Generate as finished visual base; typography beyond listed numbers remains editor-native; preserve factual uncertainty; do not imitate a historical document."
"LP-GFX-006","GENERATED_GFX","LP-B011","16:9 1920x1080 Hidden Industrial America editorial documentary frame; charcoal #171A1C, iron #30363A, warm paper #E6DDC8, ivory #F3EBDD, faded rust #A55235, blueprint gray-blue #5F747D; clean cinematic composition; lower 15% kept visually quiet for captions; no black caption box; no neon; no horror; no flag/eagle/gear iconography; no fake archival damage; no fake date stamp; no invented newspaper; no logos unless source-grounded; no text except explicitly requested numbers. Create a precise editorial infographic/technical illustration for: room-and-pillar principle. Use restrained blueprint-like geometry and physical spatial clarity; visually understandable without dense labels. Render only the numbers listed in NUMBERS_TO_RENDER when present; all other labels added by editor.","LP-S01;LP-S04","","Generate as finished visual base; typography beyond listed numbers remains editor-native; preserve factual uncertainty; do not imitate a historical document."
"LP-GFX-007","GENERATED_GFX","LP-B011","16:9 1920x1080 Hidden Industrial America editorial documentary frame; charcoal #171A1C, iron #30363A, warm paper #E6DDC8, ivory #F3EBDD, faded rust #A55235, blueprint gray-blue #5F747D; clean cinematic composition; lower 15% kept visually quiet for captions; no black caption box; no neon; no horror; no flag/eagle/gear iconography; no fake archival damage; no fake date stamp; no invented newspaper; no logos unless source-grounded; no text except explicitly requested numbers. Create a precise editorial infographic/technical illustration for: rooms versus supporting pillars close technical view. Use restrained blueprint-like geometry and physical spatial clarity; visually understandable without dense labels. Render only the numbers listed in NUMBERS_TO_RENDER when present; all other labels added by editor.","LP-S01;LP-S04","","Generate as finished visual base; typography beyond listed numbers remains editor-native; preserve factual uncertainty; do not imitate a historical document."
"LP-GFX-008","GENERATED_GFX","LP-B012","16:9 1920x1080 Hidden Industrial America editorial documentary frame; charcoal #171A1C, iron #30363A, warm paper #E6DDC8, ivory #F3EBDD, faded rust #A55235, blueprint gray-blue #5F747D; clean cinematic composition; lower 15% kept visually quiet for captions; no black caption box; no neon; no horror; no flag/eagle/gear iconography; no fake archival damage; no fake date stamp; no invented newspaper; no logos unless source-grounded; no text except explicitly requested numbers. Create a precise editorial infographic/technical illustration for: mine working levels vertical stack. Use restrained blueprint-like geometry and physical spatial clarity; visually understandable without dense labels. Render only the numbers listed in NUMBERS_TO_RENDER when present; all other labels added by editor.","LP-S01","800 ft;1000 ft;1300 ft;1500 ft","Generate as finished visual base; typography beyond listed numbers remains editor-native; preserve factual uncertainty; do not imitate a historical document."
"LP-GFX-009","GENERATED_GFX","LP-B013","16:9 1920x1080 Hidden Industrial America editorial documentary frame; charcoal #171A1C, iron #30363A, warm paper #E6DDC8, ivory #F3EBDD, faded rust #A55235, blueprint gray-blue #5F747D; clean cinematic composition; lower 15% kept visually quiet for captions; no black caption box; no neon; no horror; no flag/eagle/gear iconography; no fake archival damage; no fake date stamp; no invented newspaper; no logos unless source-grounded; no text except explicitly requested numbers. Create a precise editorial infographic/technical illustration for: oil accumulation around salt structure. Use restrained blueprint-like geometry and physical spatial clarity; visually understandable without dense labels. Render only the numbers listed in NUMBERS_TO_RENDER when present; all other labels added by editor.","LP-S04;LP-S05","","Generate as finished visual base; typography beyond listed numbers remains editor-native; preserve factual uncertainty; do not imitate a historical document."
"LP-GFX-010","GENERATED_GFX","LP-B015","16:9 1920x1080 Hidden Industrial America editorial documentary frame; charcoal #171A1C, iron #30363A, warm paper #E6DDC8, ivory #F3EBDD, faded rust #A55235, blueprint gray-blue #5F747D; clean cinematic composition; lower 15% kept visually quiet for captions; no black caption box; no neon; no horror; no flag/eagle/gear iconography; no fake archival damage; no fake date stamp; no invented newspaper; no logos unless source-grounded; no text except explicitly requested numbers. Create a precise editorial infographic/technical illustration for: drill path versus mine workings geometry. Use restrained blueprint-like geometry and physical spatial clarity; visually understandable without dense labels. Render only the numbers listed in NUMBERS_TO_RENDER when present; all other labels added by editor.","LP-S01;LP-S19","","Generate as finished visual base; typography beyond listed numbers remains editor-native; preserve factual uncertainty; do not imitate a historical document."
"LP-GFX-011","GENERATED_GFX","LP-B015","16:9 1920x1080 Hidden Industrial America editorial documentary frame; charcoal #171A1C, iron #30363A, warm paper #E6DDC8, ivory #F3EBDD, faded rust #A55235, blueprint gray-blue #5F747D; clean cinematic composition; lower 15% kept visually quiet for captions; no black caption box; no neon; no horror; no flag/eagle/gear iconography; no fake archival damage; no fake date stamp; no invented newspaper; no logos unless source-grounded; no text except explicitly requested numbers. Create a precise editorial infographic/technical illustration for: fresh water contacting salt. Use restrained blueprint-like geometry and physical spatial clarity; visually understandable without dense labels. Render only the numbers listed in NUMBERS_TO_RENDER when present; all other labels added by editor.","LP-S01;LP-S04","","Generate as finished visual base; typography beyond listed numbers remains editor-native; preserve factual uncertainty; do not imitate a historical document."
