beat_id,start,end,duration_seconds,chapter,narration,asset_class,specific_asset_requirement,provenance,motion_editing,gfx,rights_qc,status
SAT-B001,00:00:00.000,00:00:07.420,7.42,"ACT I — two towers, two failures",Two cooling towers rise from the wooded hills of western Washington. They look like a matched pair.,CURRENT_FOOTAGE,"Cleared present-day Satsop exterior/interior footage or stills showing scale, empty infrastructure, and active reuse without implying total abandonment.",No HISTORICAL SOURCE label; retain creator/license attribution,"Hard cuts among distinct viewpoints; stable footage or restrained static reframe, never repeated oscillating zooms.",None beyond captions unless a number/date named in narration materially improves comprehension.,Port material requires permission; restricted structures and active tenants must be represented accurately. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B002,00:00:07.420,00:00:18.360,10.94,"ACT I — two towers, two failures",Their histories are not. One belonged to Washington Nuclear Project Five. That project was about fourteen percent complete when it was terminated in 1982.,DOCUMENT,"Authenticated government/owner record page or dated period source tied to the stated event; highlight only the cited date, decision, or figure.",DOCUMENT,"Hard cut into a restrained page crop; one highlight/reveal, no generic document carousel.",Use one restrained factual overlay for the named number/date; remove it before the next unrelated claim.,"Verify page, agency, date, and embedded third-party rights before edit. Caption-safe lower 15% required.",PLANNED — ASSET NOT YET CLEARED
SAT-B003,00:00:18.360,00:00:30.600,12.24,"ACT I — two towers, two failures",The other served Washington Nuclear Project Three. That project reached seventy-four percent physical completion and remained preserved for possible completion until 1994.,DOCUMENT,"Authenticated government/owner record page or dated period source tied to the stated event; highlight only the cited date, decision, or figure.",DOCUMENT,"Hard cut into a restrained page crop; one highlight/reveal, no generic document carousel.",Use one restrained factual overlay for the named number/date; remove it before the next unrelated claim.,"Verify page, agency, date, and embedded third-party rights before edit. Caption-safe lower 15% required.",PLANNED — ASSET NOT YET CLEARED
SAT-B004,00:00:30.600,00:00:38.040,7.44,"ACT I — two towers, two failures",Neither project produced commercial electricity. The site was never fueled.,MAP_GFX,"Original HIA map/site-plan GFX grounded in official geography and unit layout; distinguish Project Three, Project Five, Hanford, and shared infrastructure.",No historical label; cite map/data sources,"Clean map trace or plan reveal; static labels, restrained camera, no fake satellite UI.",None beyond captions unless a number/date named in narration materially improves comprehension.,Unit placement and common-system geometry must be authenticated before final lock. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B005,00:00:38.040,00:00:53.800,15.76,"ACT I — two towers, two failures","So the mystery is not simply why Satsop was unfinished. It is why two reactor projects, built side by side, died twelve years apart — and why seventy-four percent complete was still too expensive to finish.",MAP_GFX,"Original HIA map/site-plan GFX grounded in official geography and unit layout; distinguish Project Three, Project Five, Hanford, and shared infrastructure.",No historical label; cite map/data sources,"Clean map trace or plan reveal; static labels, restrained camera, no fake satellite UI.",Use one restrained factual overlay for the named number/date; remove it before the next unrelated claim.,Unit placement and common-system geometry must be authenticated before final lock. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B006,00:00:53.800,00:01:02.800,9.0,"ACT I — two towers, two failures","On January 22, 1982, the Washington Public Power Supply System terminated Nuclear Projects Four and Five.",DOCUMENT,"Authenticated government/owner record page or dated period source tied to the stated event; highlight only the cited date, decision, or figure.",DOCUMENT,"Hard cut into a restrained page crop; one highlight/reveal, no generic document carousel.",Use one restrained factual overlay for the named number/date; remove it before the next unrelated claim.,"Verify page, agency, date, and embedded third-party rights before edit. Caption-safe lower 15% required.",PLANNED — ASSET NOT YET CLEARED
SAT-B007,00:01:02.800,00:01:12.460,9.66,"ACT I — two towers, two failures",Project Four stood at Hanford. Project Five stood here at Satsop. Financial advisers had reached a blunt conclusion.,MAP_GFX,"Original HIA map/site-plan GFX grounded in official geography and unit layout; distinguish Project Three, Project Five, Hanford, and shared infrastructure.",No historical label; cite map/data sources,"Clean map trace or plan reveal; static labels, restrained camera, no fake satellite UI.",Use one restrained factual overlay for the named number/date; remove it before the next unrelated claim.,Unit placement and common-system geometry must be authenticated before final lock. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B008,00:01:12.460,00:01:22.000,9.54,"ACT I — two towers, two failures",The bond market could not absorb the financing needed to carry all five nuclear projects then being pursued by the Supply System.,CURRENT_FOOTAGE,"Cleared present-day Satsop exterior/interior footage or stills showing scale, empty infrastructure, and active reuse without implying total abandonment.",No HISTORICAL SOURCE label; retain creator/license attribution,"Hard cuts among distinct viewpoints; stable footage or restrained static reframe, never repeated oscillating zooms.",None beyond captions unless a number/date named in narration materially improves comprehension.,Port material requires permission; restricted structures and active tenants must be represented accurately. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B009,00:01:22.000,00:01:29.280,7.28,"ACT I — two towers, two failures","At termination, Projects Four and Five had sold two point two five billion dollars in bonds.",GFX,"Source-grounded finance-flow or comparison graphic using the exact parties, percentages, and dollar basis stated in narration.",No historical label; cite source data in asset manifest,Remotion line/shape reveal keyed to spoken clauses; one comparison at a time.,Use one restrained factual overlay for the named number/date; remove it before the next unrelated claim.,Do not imply nominal-dollar equivalence or merge Project Three and Project Five financing. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B010,00:01:29.280,00:01:39.380,10.1,"ACT I — two towers, two failures",Their estimated combined completion cost had climbed to roughly twelve billion dollars — about eight point five billion above the original combined estimate.,GFX,"Source-grounded finance-flow or comparison graphic using the exact parties, percentages, and dollar basis stated in narration.",No historical label; cite source data in asset manifest,Remotion line/shape reveal keyed to spoken clauses; one comparison at a time.,Use one restrained factual overlay for the named number/date; remove it before the next unrelated claim.,Do not imply nominal-dollar equivalence or merge Project Three and Project Five financing. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
