prompt_id,beat_id,start,end,duration_seconds,asset_class,prompt_grammar,required_reference_packages,reference_gate,overlay_plan,model,quality,resolution,aspect_ratio,cost_if_generated_credits,queue_status,test_grade_v1,test_grade_v2,prompt
SAT-GEN001,SAT-B002,00:00:07.420,00:00:18.360,10.94,AI_RECONSTRUCTION,CONSTRUCTION_PHASE,R02+R03,BLOCKED_UNTIL_REAL_MEDIA_IDS_ATTACHED,14% / 1982,gpt_image_2,low,1k,16:9,0.5,REWRITTEN_NOT_AUTHORIZED,CONDITIONAL,CONDITIONAL,"VISUAL PROPOSITION: Project Five at an unmistakably early phase: low foundations and sparse formwork only, one survey crew for scale; no reactor dome, cooling tower, turbine hall, or completed switchyard. ERA/STATE: 1982. Respect the exact stated era and state (1982); do not import construction activity, clothing, vehicles or technology from another period. Historically grounded 16:9 documentary reconstruction with restrained natural light and realistic materials. The Satsop projects never operated: no fuel, nuclear glow, operating steam, radioactive spectacle or completed plant presented as fact. Do not render titles, dates, numbers, logos, maps, signs, document text, arrows or labels; exact information is added later as editorial vector graphics. Keep the lower 15 percent calm for captions. One visual proposition only."
SAT-GEN002,SAT-B003,00:00:18.360,00:00:30.600,12.24,AI_RECONSTRUCTION,SITE_IDENTITY,R01+R02,BLOCKED_UNTIL_REAL_MEDIA_IDS_ATTACHED,74% / preserved to 1994,gpt_image_2,low,1k,16:9,0.5,REWRITTEN_NOT_AUTHORIZED,CONDITIONAL,FAIL,"VISUAL PROPOSITION: Reference-matched Project Three exterior in preservation condition: cooling tower and major shells present, open unfinished interfaces visible, no cranes working and no operating vapor. ERA/STATE: 1983-1994 preservation. Respect the exact stated era and state (1983-1994 preservation); do not import construction activity, clothing, vehicles or technology from another period. Historically grounded 16:9 documentary reconstruction with restrained natural light and realistic materials. The Satsop projects never operated: no fuel, nuclear glow, operating steam, radioactive spectacle or completed plant presented as fact. Do not render titles, dates, numbers, logos, maps, signs, document text, arrows or labels; exact information is added later as editorial vector graphics. Keep the lower 15 percent calm for captions. One visual proposition only."
SAT-GEN003,SAT-B004,00:00:30.600,00:00:38.040,7.44,AI_RECONSTRUCTION_MAP,MAP_BASE,R02,BLOCKED_UNTIL_REAL_MEDIA_IDS_ATTACHED,P3 / P5 / NEVER OPERATED,gpt_image_2,low,1k,16:9,0.5,REWRITTEN_NOT_AUTHORIZED,FAIL,FAIL,"VISUAL PROPOSITION: Near-orthographic site-plan plate matching the authenticated plan exactly; Project Three and Project Five footprints separated, all labels and status marks omitted for vector overlay. ERA/STATE: neutral factual map. Respect the exact stated era and state (neutral factual map); do not import construction activity, clothing, vehicles or technology from another period. Historically grounded 16:9 documentary reconstruction with restrained natural light and realistic materials. The Satsop projects never operated: no fuel, nuclear glow, operating steam, radioactive spectacle or completed plant presented as fact. Do not render titles, dates, numbers, logos, maps, signs, document text, arrows or labels; exact information is added later as editorial vector graphics. Keep the lower 15 percent calm for captions. One visual proposition only."
SAT-GEN004,SAT-B005,00:00:38.040,00:00:53.800,15.76,AI_RECONSTRUCTION_MAP,MAP_BASE,R01+R02,BLOCKED_UNTIL_REAL_MEDIA_IDS_ATTACHED,1982 → 1994,gpt_image_2,low,1k,16:9,0.5,REWRITTEN_NOT_AUTHORIZED,NOT_TESTED,NOT_TESTED,"VISUAL PROPOSITION: Split-site orthographic plate with Project Five visually sparse and Project Three substantially built; preserve exact plan geometry and reserve the center seam for a twelve-year timeline overlay. ERA/STATE: 1982-1994 comparison. Respect the exact stated era and state (1982-1994 comparison); do not import construction activity, clothing, vehicles or technology from another period. Historically grounded 16:9 documentary reconstruction with restrained natural light and realistic materials. The Satsop projects never operated: no fuel, nuclear glow, operating steam, radioactive spectacle or completed plant presented as fact. Do not render titles, dates, numbers, logos, maps, signs, document text, arrows or labels; exact information is added later as editorial vector graphics. Keep the lower 15 percent calm for captions. One visual proposition only."
SAT-GEN005,SAT-B006,00:00:53.800,00:01:02.800,9.0,AI_RECONSTRUCTION,INSTITUTIONAL,R03,BLOCKED_UNTIL_REAL_MEDIA_IDS_ATTACHED,JAN 22 1982 / P4+P5 TERMINATED,gpt_image_2,low,1k,16:9,0.5,REWRITTEN_NOT_AUTHORIZED,NOT_TESTED,NOT_TESTED,"VISUAL PROPOSITION: January 1982 utility-board decision room after a vote: closed folders, empty chairs and a stopped-project site photograph on an easel; no readable invented documents. ERA/STATE: 1982. Respect the exact stated era and state (1982); do not import construction activity, clothing, vehicles or technology from another period. Historically grounded 16:9 documentary reconstruction with restrained natural light and realistic materials. The Satsop projects never operated: no fuel, nuclear glow, operating steam, radioactive spectacle or completed plant presented as fact. Do not render titles, dates, numbers, logos, maps, signs, document text, arrows or labels; exact information is added later as editorial vector graphics. Keep the lower 15 percent calm for captions. One visual proposition only."
SAT-GEN006,SAT-B011,00:01:39.380,00:01:53.080,13.7,AI_RECONSTRUCTION,CONSTRUCTION_PHASE,R02+R03,BLOCKED_UNTIL_REAL_MEDIA_IDS_ATTACHED,14% / rising estimate,gpt_image_2,low,1k,16:9,0.5,REWRITTEN_NOT_AUTHORIZED,CONDITIONAL,CONDITIONAL,"VISUAL PROPOSITION: Project Five early works viewed from ground level: isolated concrete foundations and stored rebar separated by large empty tracts; make limited physical progress the dominant fact. ERA/STATE: 1981-1982. Respect the exact stated era and state (1981-1982); do not import construction activity, clothing, vehicles or technology from another period. Historically grounded 16:9 documentary reconstruction with restrained natural light and realistic materials. The Satsop projects never operated: no fuel, nuclear glow, operating steam, radioactive spectacle or completed plant presented as fact. Do not render titles, dates, numbers, logos, maps, signs, document text, arrows or labels; exact information is added later as editorial vector graphics. Keep the lower 15 percent calm for captions. One visual proposition only."
SAT-GEN007,SAT-B012,00:01:53.080,00:02:02.480,9.4,AI_RECONSTRUCTION,FINANCIAL_METAPHOR,R03,BLOCKED_UNTIL_REAL_MEDIA_IDS_ATTACHED,PROMISE TO PAY / REWIND,gpt_image_2,low,1k,16:9,0.5,REWRITTEN_NOT_AUTHORIZED,NOT_TESTED,NOT_TESTED,"VISUAL PROPOSITION: A period utility desk where a signed payment obligation in the foreground visually blocks the road toward the distant unfinished site; documents remain blank for editorial replacement. ERA/STATE: 1982. Respect the exact stated era and state (1982); do not import construction activity, clothing, vehicles or technology from another period. Historically grounded 16:9 documentary reconstruction with restrained natural light and realistic materials. The Satsop projects never operated: no fuel, nuclear glow, operating steam, radioactive spectacle or completed plant presented as fact. Do not render titles, dates, numbers, logos, maps, signs, document text, arrows or labels; exact information is added later as editorial vector graphics. Keep the lower 15 percent calm for captions. One visual proposition only."
SAT-GEN008,SAT-B015,00:02:22.220,00:02:35.380,13.16,AI_RECONSTRUCTION,PLANNING_ROOM,R03+R05,BLOCKED_UNTIL_REAL_MEDIA_IDS_ATTACHED,5 PROJECTS,gpt_image_2,low,1k,16:9,0.5,REWRITTEN_NOT_AUTHORIZED,NOT_TESTED,NOT_TESTED,"VISUAL PROPOSITION: 1969 regional planning room with five separate plant models arranged around a Pacific Northwest wall map, small staff dwarfed by the expansion plan; no modern screens. ERA/STATE: 1969. Respect the exact stated era and state (1969); do not import construction activity, clothing, vehicles or technology from another period. Historically grounded 16:9 documentary reconstruction with restrained natural light and realistic materials. The Satsop projects never operated: no fuel, nuclear glow, operating steam, radioactive spectacle or completed plant presented as fact. Do not render titles, dates, numbers, logos, maps, signs, document text, arrows or labels; exact information is added later as editorial vector graphics. Keep the lower 15 percent calm for captions. One visual proposition only."
SAT-GEN009,SAT-B016,00:02:35.380,00:02:45.170,9.79,AI_RECONSTRUCTION,WORKFORCE_SCALE,R03,BLOCKED_UNTIL_REAL_MEDIA_IDS_ATTACHED,"<100 → 1,471",gpt_image_2,low,1k,16:9,0.5,REWRITTEN_NOT_AUTHORIZED,NOT_TESTED,NOT_TESTED,"VISUAL PROPOSITION: Diptych base: a modest pre-1968 utility office on the left and a crowded 1979 engineering floor on the right, matched camera height and blank center for exact employee numbers. ERA/STATE: 1968 vs 1979. Respect the exact stated era and state (1968 vs 1979); do not import construction activity, clothing, vehicles or technology from another period. Historically grounded 16:9 documentary reconstruction with restrained natural light and realistic materials. The Satsop projects never operated: no fuel, nuclear glow, operating steam, radioactive spectacle or completed plant presented as fact. Do not render titles, dates, numbers, logos, maps, signs, document text, arrows or labels; exact information is added later as editorial vector graphics. Keep the lower 15 percent calm for captions. One visual proposition only."
SAT-GEN010,SAT-B017,00:02:45.170,00:03:01.300,16.13,AI_RECONSTRUCTION,PORTFOLIO_SYSTEM,R03+R05,BLOCKED_UNTIL_REAL_MEDIA_IDS_ATTACHED,portfolio competition,gpt_image_2,low,1k,16:9,0.5,REWRITTEN_NOT_AUTHORIZED,NOT_TESTED,NOT_TESTED,"VISUAL PROPOSITION: Five distinct project worktables competing for the same limited pool of engineers, contractor schedules, component crates and permit trays in one overhead institutional composition. ERA/STATE: late 1970s. Respect the exact stated era and state (late 1970s); do not import construction activity, clothing, vehicles or technology from another period. Historically grounded 16:9 documentary reconstruction with restrained natural light and realistic materials. The Satsop projects never operated: no fuel, nuclear glow, operating steam, radioactive spectacle or completed plant presented as fact. Do not render titles, dates, numbers, logos, maps, signs, document text, arrows or labels; exact information is added later as editorial vector graphics. Keep the lower 15 percent calm for captions. One visual proposition only."
