word_index,start_sec,end_sec,canonical_word,normalized,alignment,asr_word,asr_probability
1067,493.980,494.340,receiving,receiving,DIRECT,receiving,0.9969
1068,494.340,494.880,space,space,DIRECT,space,0.9977
1069,494.880,495.520,was,was,DIRECT,was,0.9953
1070,495.520,495.860,not,not,DIRECT,not,0.9992
1071,495.860,496.180,a,a,DIRECT,a,0.9982
1072,496.180,496.600,concrete,concrete,DIRECT,concrete,0.9997
1073,496.600,497.320,reservoir,reservoir,DIRECT,reservoir,0.9988
1074,497.320,497.840,with,with,DIRECT,with,0.9854
1075,497.840,498.200,fixed,fixed,DIRECT,fixed,0.9992
1076,498.200,498.640,walls.,walls,DIRECT,walls.,0.9994
1077,499.340,499.580,It,it,DIRECT,It,0.9971
1078,499.580,499.720,was,was,DIRECT,was,0.9997
1079,499.720,499.920,a,a,DIRECT,a,0.9973
1080,499.920,500.320,mine,mine,DIRECT,mine,0.9996
1081,500.320,501.180,carved,carved,DIRECT,carved,0.9515
1082,501.180,501.500,through,through,DIRECT,through,0.9981
1083,501.500,501.660,a,a,DIRECT,a,0.9989
1084,501.660,502.100,soluble,soluble,DIRECT,soluble,0.9946
1085,502.100,502.560,salt,salt,DIRECT,salt,0.9944
1086,502.560,503.240,structure.,structure,DIRECT,structure.,0.9988
1087,503.840,504.120,The,the,DIRECT,The,0.9969
1088,504.120,504.480,famous,famous,DIRECT,famous,0.9984
1089,504.480,505.080,whirlpool,whirlpool,DIRECT,whirlpool,0.9762
1090,505.080,505.900,was,was,DIRECT,was,0.9977
1091,505.900,506.200,only,only,DIRECT,only,0.9987
1092,506.200,506.420,the,the,DIRECT,the,0.9972
1093,506.420,506.760,surface,surface,DIRECT,surface,0.9992
1094,506.760,507.380,expression.,expression,DIRECT,expression.,0.9961
1095,508.240,508.460,Below,below,DIRECT,Below,0.9973
1096,508.460,508.860,"it,",it,DIRECT,it,0.9986
1097,508.860,509.300,water,water,DIRECT,water,0.1043
1098,509.300,509.620,was,was,DIRECT,was,0.9983
1099,509.620,510.000,entering,entering,DIRECT,entering,0.9980
1100,510.000,510.300,an,an,DIRECT,an,0.9970
1101,510.300,510.900,industrial,industrial,DIRECT,industrial,0.9982
1102,510.900,511.380,void,void,DIRECT,void,0.9995
1103,511.380,511.980,built,built,DIRECT,built,0.8356
1104,511.980,512.380,across,across,DIRECT,across,0.9990
1105,512.380,513.060,multiple,multiple,DIRECT,multiple,0.9989
1106,513.060,513.680,levels.,levels,DIRECT,levels.,0.9997
1107,514.460,514.840,Above,above,DIRECT,Above,0.4770
1108,514.840,515.160,"it,",it,DIRECT,"it,",0.9913
1109,515.720,515.820,the,the,DIRECT,the,0.9944
1110,515.820,516.020,lake,lake,DIRECT,lake,0.9710
1111,516.020,516.220,was,was,DIRECT,was,0.9981
1112,516.220,516.620,losing,losing,DIRECT,losing,0.9890
1113,516.620,516.880,both,both,DIRECT,both,0.9985
1114,516.880,517.380,water,water,DIRECT,water,0.9987
1115,517.380,517.920,and,and,DIRECT,and,0.9961
1116,517.920,518.540,shoreline.,shoreline,DIRECT,shoreline.,0.9965
1117,519.420,519.600,Those,those,DIRECT,Those,0.9915
1118,519.600,519.840,two,two,DIRECT,two,0.9948
1119,519.840,520.320,systems,systems,DIRECT,systems,0.9978
1120,520.320,520.760,were,were,DIRECT,were,0.9967
1121,520.760,521.040,now,now,DIRECT,now,0.9971
1122,521.040,521.420,coupled.,coupled,DIRECT,coupled.,0.9959
1123,522.100,522.320,The,the,DIRECT,The,0.9971
1124,522.320,522.640,faster,faster,DIRECT,faster,0.9984
1125,522.640,522.900,the,the,DIRECT,the,0.9988
1126,522.900,523.160,lake,lake,DIRECT,lake,0.9937
1127,523.160,523.500,fed,fed,DIRECT,fed,0.9876
1128,523.500,523.680,the,the,DIRECT,the,0.9984
1129,523.680,524.120,"failure,",failure,DIRECT,"failure,",0.9992
1130,524.600,524.740,the,the,DIRECT,the,0.9967
1131,524.740,525.020,more,more,DIRECT,more,0.9993
1132,525.020,525.180,the,the,DIRECT,the,0.9910
1133,525.180,525.560,failure,failure,DIRECT,failure,0.9998
1134,525.560,525.780,could,could,DIRECT,could,0.9985
1135,525.780,526.240,change,change,DIRECT,change,0.9992
1136,526.240,526.460,the,the,DIRECT,the,0.9991
1137,526.460,526.820,route,route,DIRECT,route,0.9868
1138,526.820,527.500,available,available,DIRECT,available,0.9924
1139,527.500,527.920,to,to,DIRECT,to,0.9984
1140,527.920,528.080,the,the,DIRECT,the,0.9995
1141,528.080,528.380,lake.,lake,DIRECT,lake.,0.9965
1142,529.000,529.240,The,the,DIRECT,The,0.9968
1143,529.240,529.660,relationship,relationship,DIRECT,relationship,0.9978
1144,529.660,530.140,between,between,DIRECT,between,0.9994
1145,530.140,530.640,"water,",water,DIRECT,"water,",0.9985
1146,531.300,531.420,"mine,",mine,DIRECT,"mine,",0.9951
1147,532.080,532.200,rock,rock,DIRECT,rock,0.9989
1148,532.200,532.580,and,and,DIRECT,and,0.5471
1149,532.580,533.000,air,air,DIRECT,air,0.9978
1150,533.000,533.740,was,was,DIRECT,was,0.8695
1151,533.740,534.040,being,being,DIRECT,being,0.9980
1152,534.040,534.540,rewritten,rewritten,DIRECT,rewritten,0.9652
1153,534.540,535.160,in,in,DIRECT,in,0.9937
1154,535.160,535.420,real,real,DIRECT,real,0.9993
1155,535.420,535.940,time.,time,DIRECT,time.,0.8560
1156,536.840,537.040,And,and,DIRECT,And,0.9648
1157,537.040,537.180,as,as,DIRECT,as,0.9597
1158,537.180,537.360,the,the,DIRECT,the,0.9986
1159,537.360,537.560,lake,lake,DIRECT,lake,0.9932
1160,537.560,537.840,level,level,DIRECT,level,0.9946
1161,537.840,538.180,"dropped,",dropped,DIRECT,"dropped,",0.9982
1162,538.700,538.920,the,the,DIRECT,the,0.9982
1163,538.920,539.440,consequences,consequences,DIRECT,consequences,0.9988
1164,539.440,540.180,reached,reached,DIRECT,reached,0.9976
1165,540.180,540.920,beyond,beyond,DIRECT,beyond,0.9993
1166,540.920,541.400,Jefferson,jefferson,DIRECT,Jefferson,0.9937
1167,541.400,541.940,Island.,island,DIRECT,Island.,0.9843
1168,542.480,542.900,They,they,DIRECT,They,0.5575
1169,542.900,543.300,changed,changed,DIRECT,changed,0.9757
1170,543.300,543.560,the,the,DIRECT,the,0.9993
1171,543.560,543.960,direction,direction,DIRECT,direction,0.9991
1172,543.960,544.540,of,of,DIRECT,of,0.9985
1173,544.540,544.880,another,another,DIRECT,another,0.9987
1174,544.880,545.200,body,body,DIRECT,body,0.9995
1175,545.200,545.400,of,of,DIRECT,of,0.9982
1176,545.400,545.800,water.,water,DIRECT,water.,0.9991
1177,546.600,546.740,Lake,lake,DIRECT,Lake,0.9946
1178,546.740,547.260,Peigneur,peigneur,DIRECT,Peigneur,0.5744
