index,replacement_id,beat_id,start,end,replaces_kind,narration,model,aspect_ratio,cost_credits,prompt,status
1,SAT-RPL-001,SAT-B007,62.8,72.46000000000001,gfx,Project Four stood at Hanford. Project Five stood here at Satsop. Financial advisers had reached a blunt conclusion.,gpt_image_2,16:9,0.5,"SUBJECT AND COMPOSITION: A wide, grounded Pacific Northwest planning-room scene: two separate scale-model construction sites sit far apart on one long table, one surrounded by dry eastern Washington terrain references and the other by wet coastal forest references; a financial adviser stands between them studying a closed funding portfolio, no wall map and no labels. Create one photorealistic 16:9 documentary still with a clear foreground, middle ground and background, realistic scale, restrained natural or institutional light, and a calm lower 18 percent for burned English subtitles. HISTORICAL AND FACTUAL BOUNDARY: Match the era stated in the subject. Treat the scene as an interpretive documentary reconstruction, with anonymous non-identifiable adults and plausible period materials. Do not claim exact geography unless the subject explicitly describes the present Satsop site. ABSOLUTE EXCLUSIONS: no words, letters, dates, numbers, logos, captions, title cards, maps, arrows, charts, graphs, diagrams, split screens, UI panels, infographic blocks, readable paper, nuclear glow, disaster imagery, operating Satsop reactor, fuel, smoke, dramatic steam, cinematic spectacle, painterly illustration or 3D infographic style.",PROMPT_READY_NOT_SUBMITTED
2,SAT-RPL-002,SAT-B009,82.0,89.28,gfx,"At termination, Projects Four and Five had sold two point two five billion dollars in bonds.",gpt_image_2,16:9,0.5,"SUBJECT AND COMPOSITION: A 1982 municipal bond closing room after activity has stopped: dense stacks of blank bond certificates, ledger binders and adding machines fill the foreground while an unfinished industrial construction photograph sits soft and secondary in the distance. Create one photorealistic 16:9 documentary still with a clear foreground, middle ground and background, realistic scale, restrained natural or institutional light, and a calm lower 18 percent for burned English subtitles. HISTORICAL AND FACTUAL BOUNDARY: Match the era stated in the subject. Treat the scene as an interpretive documentary reconstruction, with anonymous non-identifiable adults and plausible period materials. Do not claim exact geography unless the subject explicitly describes the present Satsop site. ABSOLUTE EXCLUSIONS: no words, letters, dates, numbers, logos, captions, title cards, maps, arrows, charts, graphs, diagrams, split screens, UI panels, infographic blocks, readable paper, nuclear glow, disaster imagery, operating Satsop reactor, fuel, smoke, dramatic steam, cinematic spectacle, painterly illustration or 3D infographic style.",PROMPT_READY_NOT_SUBMITTED
3,SAT-RPL-003,SAT-B010,89.28,99.38,gfx,Their estimated combined completion cost had climbed to roughly twelve billion dollars — about eight point five billion above the original combined estimate.,gpt_image_2,16:9,0.5,"SUBJECT AND COMPOSITION: An overwhelmed project-estimating office in 1982: an enormous wall of stacked blank cost binders and unopened contractor boxes dwarfs a much smaller original planning folder on a desk, with exhausted estimators reviewing the scale of the increase. Create one photorealistic 16:9 documentary still with a clear foreground, middle ground and background, realistic scale, restrained natural or institutional light, and a calm lower 18 percent for burned English subtitles. HISTORICAL AND FACTUAL BOUNDARY: Match the era stated in the subject. Treat the scene as an interpretive documentary reconstruction, with anonymous non-identifiable adults and plausible period materials. Do not claim exact geography unless the subject explicitly describes the present Satsop site. ABSOLUTE EXCLUSIONS: no words, letters, dates, numbers, logos, captions, title cards, maps, arrows, charts, graphs, diagrams, split screens, UI panels, infographic blocks, readable paper, nuclear glow, disaster imagery, operating Satsop reactor, fuel, smoke, dramatic steam, cinematic spectacle, painterly illustration or 3D infographic style.",PROMPT_READY_NOT_SUBMITTED
4,SAT-RPL-004,SAT-B013,122.48,130.98,gfx,"Through the mid-twentieth century, federal hydroelectric projects supplied most of the Pacific Northwest's electricity.",gpt_image_2,16:9,0.5,"SUBJECT AND COMPOSITION: A monumental mid-century Pacific Northwest hydroelectric powerhouse interior with turbines, penstocks and operators at analog controls, emphasizing that the region's electrical system was built around federal hydropower. Create one photorealistic 16:9 documentary still with a clear foreground, middle ground and background, realistic scale, restrained natural or institutional light, and a calm lower 18 percent for burned English subtitles. HISTORICAL AND FACTUAL BOUNDARY: Match the era stated in the subject. Treat the scene as an interpretive documentary reconstruction, with anonymous non-identifiable adults and plausible period materials. Do not claim exact geography unless the subject explicitly describes the present Satsop site. ABSOLUTE EXCLUSIONS: no words, letters, dates, numbers, logos, captions, title cards, maps, arrows, charts, graphs, diagrams, split screens, UI panels, infographic blocks, readable paper, nuclear glow, disaster imagery, operating Satsop reactor, fuel, smoke, dramatic steam, cinematic spectacle, painterly illustration or 3D infographic style.",PROMPT_READY_NOT_SUBMITTED
5,SAT-RPL-005,SAT-B014,130.98,142.22,gfx,"By 1966, planners projected demand growing beyond what that system could provide. Utilities and Bonneville organized a regional planning effort.",gpt_image_2,16:9,0.5,"SUBJECT AND COMPOSITION: A late-1960s regional utility planning conference: engineers and public-power officials gather around a large blank physical relief model of rivers, cities and future demand corridors, with hydro infrastructure models visibly insufficient for the expanding built landscape. Create one photorealistic 16:9 documentary still with a clear foreground, middle ground and background, realistic scale, restrained natural or institutional light, and a calm lower 18 percent for burned English subtitles. HISTORICAL AND FACTUAL BOUNDARY: Match the era stated in the subject. Treat the scene as an interpretive documentary reconstruction, with anonymous non-identifiable adults and plausible period materials. Do not claim exact geography unless the subject explicitly describes the present Satsop site. ABSOLUTE EXCLUSIONS: no words, letters, dates, numbers, logos, captions, title cards, maps, arrows, charts, graphs, diagrams, split screens, UI panels, infographic blocks, readable paper, nuclear glow, disaster imagery, operating Satsop reactor, fuel, smoke, dramatic steam, cinematic spectacle, painterly illustration or 3D infographic style.",PROMPT_READY_NOT_SUBMITTED
6,SAT-RPL-006,SAT-B018,181.3,190.26,gfx,"Only one of those five projects would eventually operate: Project Two at Hanford, which entered commercial service in December 1984.",gpt_image_2,16:9,0.5,"SUBJECT AND COMPOSITION: A restrained 1984 commissioning scene at the completed Hanford nuclear plant: workers in period safety gear stand beside a functioning turbine hall control boundary while four distant unfinished project models remain covered on a planning table, no steam spectacle. Create one photorealistic 16:9 documentary still with a clear foreground, middle ground and background, realistic scale, restrained natural or institutional light, and a calm lower 18 percent for burned English subtitles. HISTORICAL AND FACTUAL BOUNDARY: Match the era stated in the subject. Treat the scene as an interpretive documentary reconstruction, with anonymous non-identifiable adults and plausible period materials. Do not claim exact geography unless the subject explicitly describes the present Satsop site. ABSOLUTE EXCLUSIONS: no words, letters, dates, numbers, logos, captions, title cards, maps, arrows, charts, graphs, diagrams, split screens, UI panels, infographic blocks, readable paper, nuclear glow, disaster imagery, operating Satsop reactor, fuel, smoke, dramatic steam, cinematic spectacle, painterly illustration or 3D infographic style.",PROMPT_READY_NOT_SUBMITTED
7,SAT-RPL-007,SAT-B020,203.28,210.93,gfx,The bonds were backed by contracts containing a take-or-pay obligation. The phrase sounds obscure.,gpt_image_2,16:9,0.5,"SUBJECT AND COMPOSITION: A close documentary still of a utility executive signing a thick long-term payment contract at a plain institutional desk, the unfinished plant visible through a window behind the document; every page is blank and unreadable. Create one photorealistic 16:9 documentary still with a clear foreground, middle ground and background, realistic scale, restrained natural or institutional light, and a calm lower 18 percent for burned English subtitles. HISTORICAL AND FACTUAL BOUNDARY: Match the era stated in the subject. Treat the scene as an interpretive documentary reconstruction, with anonymous non-identifiable adults and plausible period materials. Do not claim exact geography unless the subject explicitly describes the present Satsop site. ABSOLUTE EXCLUSIONS: no words, letters, dates, numbers, logos, captions, title cards, maps, arrows, charts, graphs, diagrams, split screens, UI panels, infographic blocks, readable paper, nuclear glow, disaster imagery, operating Satsop reactor, fuel, smoke, dramatic steam, cinematic spectacle, painterly illustration or 3D infographic style.",PROMPT_READY_NOT_SUBMITTED
8,SAT-RPL-008,SAT-B022,219.57999999999998,233.24,gfx,"When the projects were alive, that promise helped make their bonds marketable. Once construction ended, it meant utilities could still face the cost of plants that would never deliver power.",gpt_image_2,16:9,0.5,"SUBJECT AND COMPOSITION: A small public utility billing office after construction stopped: ratepayer envelopes and payment trays continue moving across a counter while a framed photograph of an unfinished plant hangs in the background, making the continuing obligation tangible. Create one photorealistic 16:9 documentary still with a clear foreground, middle ground and background, realistic scale, restrained natural or institutional light, and a calm lower 18 percent for burned English subtitles. HISTORICAL AND FACTUAL BOUNDARY: Match the era stated in the subject. Treat the scene as an interpretive documentary reconstruction, with anonymous non-identifiable adults and plausible period materials. Do not claim exact geography unless the subject explicitly describes the present Satsop site. ABSOLUTE EXCLUSIONS: no words, letters, dates, numbers, logos, captions, title cards, maps, arrows, charts, graphs, diagrams, split screens, UI panels, infographic blocks, readable paper, nuclear glow, disaster imagery, operating Satsop reactor, fuel, smoke, dramatic steam, cinematic spectacle, painterly illustration or 3D infographic style.",PROMPT_READY_NOT_SUBMITTED
9,SAT-RPL-009,SAT-B028,278.14,289.42,gfx,"Project Three belonged to an earlier group supported through net billing with Bonneville, the federal agency that marketed power from the Northwest's federal hydroelectric system.",gpt_image_2,16:9,0.5,"SUBJECT AND COMPOSITION: A Bonneville-era public power finance office: hydroelectric dispatch photographs, wholesale billing folders and a preserved nuclear-project model share one worktable, showing project costs flowing through a federal regional power system without using a diagram. Create one photorealistic 16:9 documentary still with a clear foreground, middle ground and background, realistic scale, restrained natural or institutional light, and a calm lower 18 percent for burned English subtitles. HISTORICAL AND FACTUAL BOUNDARY: Match the era stated in the subject. Treat the scene as an interpretive documentary reconstruction, with anonymous non-identifiable adults and plausible period materials. Do not claim exact geography unless the subject explicitly describes the present Satsop site. ABSOLUTE EXCLUSIONS: no words, letters, dates, numbers, logos, captions, title cards, maps, arrows, charts, graphs, diagrams, split screens, UI panels, infographic blocks, readable paper, nuclear glow, disaster imagery, operating Satsop reactor, fuel, smoke, dramatic steam, cinematic spectacle, painterly illustration or 3D infographic style.",PROMPT_READY_NOT_SUBMITTED
10,SAT-RPL-010,SAT-B030,296.52,307.38,gfx,"In exchange, Bonneville credited project costs through their wholesale power bills. Seventy percent of Project Three used that public net-billing structure.",gpt_image_2,16:9,0.5,"SUBJECT AND COMPOSITION: An institutional wholesale billing department with rows of public-utility account folders passing through credit trays toward one large preserved-project file; the composition gives most of the physical desk space to the public side and keeps all paper blank. Create one photorealistic 16:9 documentary still with a clear foreground, middle ground and background, realistic scale, restrained natural or institutional light, and a calm lower 18 percent for burned English subtitles. HISTORICAL AND FACTUAL BOUNDARY: Match the era stated in the subject. Treat the scene as an interpretive documentary reconstruction, with anonymous non-identifiable adults and plausible period materials. Do not claim exact geography unless the subject explicitly describes the present Satsop site. ABSOLUTE EXCLUSIONS: no words, letters, dates, numbers, logos, captions, title cards, maps, arrows, charts, graphs, diagrams, split screens, UI panels, infographic blocks, readable paper, nuclear glow, disaster imagery, operating Satsop reactor, fuel, smoke, dramatic steam, cinematic spectacle, painterly illustration or 3D infographic style.",PROMPT_READY_NOT_SUBMITTED
11,SAT-RPL-011,SAT-B033,329.68,338.31600000000003,gfx,But a cooling tower cannot show who carries the next billion dollars of risk.,gpt_image_2,16:9,0.5,"SUBJECT AND COMPOSITION: A giant unfinished cooling tower fills the background while, in sharp foreground, anonymous utility finance officers examine a heavy sealed capital-risk case that the structure itself cannot reveal. Create one photorealistic 16:9 documentary still with a clear foreground, middle ground and background, realistic scale, restrained natural or institutional light, and a calm lower 18 percent for burned English subtitles. HISTORICAL AND FACTUAL BOUNDARY: Match the era stated in the subject. Treat the scene as an interpretive documentary reconstruction, with anonymous non-identifiable adults and plausible period materials. Do not claim exact geography unless the subject explicitly describes the present Satsop site. ABSOLUTE EXCLUSIONS: no words, letters, dates, numbers, logos, captions, title cards, maps, arrows, charts, graphs, diagrams, split screens, UI panels, infographic blocks, readable paper, nuclear glow, disaster imagery, operating Satsop reactor, fuel, smoke, dramatic steam, cinematic spectacle, painterly illustration or 3D infographic style.",PROMPT_READY_NOT_SUBMITTED
12,SAT-RPL-012,SAT-B034,338.31600000000003,356.641,gfx,"Nor can the tower show how much remained outside it. Each proposed Satsop unit included a reactor system, auxiliary building, turbine generator, cooling system, transmission connections, and supporting facilities.",gpt_image_2,16:9,0.5,"SUBJECT AND COMPOSITION: A physically accurate industrial model-room view showing the separate major systems required for a large pressurized-water power station: unfinished containment-area model, turbine hall model, cooling works, transmission yard and support buildings arranged as distinct physical components, no labels. Create one photorealistic 16:9 documentary still with a clear foreground, middle ground and background, realistic scale, restrained natural or institutional light, and a calm lower 18 percent for burned English subtitles. HISTORICAL AND FACTUAL BOUNDARY: Match the era stated in the subject. Treat the scene as an interpretive documentary reconstruction, with anonymous non-identifiable adults and plausible period materials. Do not claim exact geography unless the subject explicitly describes the present Satsop site. ABSOLUTE EXCLUSIONS: no words, letters, dates, numbers, logos, captions, title cards, maps, arrows, charts, graphs, diagrams, split screens, UI panels, infographic blocks, readable paper, nuclear glow, disaster imagery, operating Satsop reactor, fuel, smoke, dramatic steam, cinematic spectacle, painterly illustration or 3D infographic style.",PROMPT_READY_NOT_SUBMITTED
13,SAT-RPL-013,SAT-B036,362.971,375.631,generated,"In operation, reactor heat would produce steam, the steam would spin a turbine generator, and the cooling system would remove waste heat so water could circulate again.",gpt_image_2,16:9,0.5,"SUBJECT AND COMPOSITION: A cutaway-like but fully physical training exhibit photographed in a 1970s engineering hall: four separate scale models show a heat source vessel, steam piping, turbine generator and cooling-water return loop in a clear left-to-right sequence, no arrows, labels or readable text. Create one photorealistic 16:9 documentary still with a clear foreground, middle ground and background, realistic scale, restrained natural or institutional light, and a calm lower 18 percent for burned English subtitles. HISTORICAL AND FACTUAL BOUNDARY: Match the era stated in the subject. Treat the scene as an interpretive documentary reconstruction, with anonymous non-identifiable adults and plausible period materials. Do not claim exact geography unless the subject explicitly describes the present Satsop site. ABSOLUTE EXCLUSIONS: no words, letters, dates, numbers, logos, captions, title cards, maps, arrows, charts, graphs, diagrams, split screens, UI panels, infographic blocks, readable paper, nuclear glow, disaster imagery, operating Satsop reactor, fuel, smoke, dramatic steam, cinematic spectacle, painterly illustration or 3D infographic style.",PROMPT_READY_NOT_SUBMITTED
