beat,start,end,duration_seconds,final_class,asset_id,asset_locator,provenance,rights_or_source,subtitle_safe,shot_lock,status
BM-B001,00:00:00.000,00:00:11.000,11.000,GFX,FX001,GFX_FINAL::FX001,HIA EXPLANATORY GFX,Project-created final GFX,PASS — 55/55 GFX lower 12–15% safe-zone lock,"Cold open: charcoal negative-space silhouette of full Big Muskie progressively subtracts boom, house and tub until only bucket outline remains; no archive photo on screen",LOCKED
BM-B002,00:00:11.580,00:00:21.540,9.960,REAL,R06,SOURCE_ARCHIVE_V2_CLEAN::R06,CURRENT PHOTO,CC BY-SA 4.0 — Toni Leland,PASS — editorial reframe keeps essential subject above caption band,"Current Toni Leland bucket, wide establishing frame with bucket isolated against site; first present-day reveal",LOCKED
BM-B003,00:00:21.540,00:00:32.780,11.240,REAL,R07,SOURCE_ARCHIVE_V2_CLEAN::R07,CURRENT PHOTO,CC BY-SA 3.0 — Eric Gunderson,PASS — editorial reframe keeps essential subject above caption band,"Gunderson northeast bucket angle reframed as human-scale composition; bucket mouth dominates, surrounding environment supplies scale",LOCKED
BM-B004,00:00:33.640,00:00:44.600,10.960,REAL,R01,SOURCE_ARCHIVE_V2_CLEAN::R01,HISTORICAL SOURCE,PUBLIC DOMAIN — U.S. EPA / NARA,PASS — editorial reframe keeps essential subject above caption band,"NARA 554830 full-machine historical frame, uncropped wide reveal; first authentic historical Big Muskie appearance",LOCKED
BM-B005,00:00:45.200,00:00:58.080,12.880,REAL,R05,SOURCE_ARCHIVE_V2_CLEAN::R05,HISTORICAL SOURCE,CC BY-SA 3.0 — Brian M. Powell,PASS — editorial reframe keeps essential subject above caption band,"1999 pre-demolition side view with restrained 1991→1999 date rail beneath, no additional machine photo",LOCKED
BM-B006,00:00:59.060,00:01:08.940,9.880,GFX,FX002,GFX_FINAL::FX002,HIA EXPLANATORY GFX,Project-created final GFX,PASS — 55/55 GFX lower 12–15% safe-zone lock,Mechanical subtraction sequence built from vector silhouette: labeled masses disappear into scrap-weight counter; bucket remains as final object,LOCKED
BM-B007,00:01:09.860,00:01:18.180,8.320,GFX,FX003,GFX_FINAL::FX003,HIA EXPLANATORY GFX,Project-created final GFX,PASS — 55/55 GFX lower 12–15% safe-zone lock,Extreme bucket-to-empty-space vector study derived from measured 220 yd³ dimensions; clean center negative space for the central question,LOCKED
BM-B008,00:01:18.500,00:01:31.680,13.180,GFX,FX004,GFX_FINAL::FX004,HIA EXPLANATORY GFX,Project-created final GFX,PASS — 55/55 GFX lower 12–15% safe-zone lock,"System-question composition: power demand → coal seam → overburden → machine equation, centered question mark replacing hero photography",LOCKED
BM-B009,00:01:32.760,00:01:45.700,12.940,REAL_CONTEXT,C10,SOURCE_ARCHIVE_V2_CLEAN::C10,HISTORICAL CONTEXT — NOT BIG MUSKIE,PUBLIC DOMAIN — U.S. EPA / NARA; Ohio regional context only,PASS — editorial reframe keeps essential subject above caption band,"Muskingum County Ohio Power strip-mined land near Chandlersville, wide geography/context frame with minimal location tag",LOCKED
BM-B010,00:01:46.460,00:01:58.580,12.120,GFX,FX005,GFX_FINAL::FX005,HIA EXPLANATORY GFX,Project-created final GFX,PASS — 55/55 GFX lower 12–15% safe-zone lock,"Original cross-section: surface / overburden / coal seam, vertical depth ruler animating downward",LOCKED
