frame,what_it_shows,beats,visual_value,provenance_status,production_status
EE-123,Pre-event Lake Peigneur / Jefferson Island,B001;B007;B081,A,UNKNOWN ITEM-LEVEL / MSHA APPENDIX EE,CONDITIONAL_REAL
EE-124,Post-inundation lake and subsidence,B034;B056;B057,A,UNKNOWN ITEM-LEVEL / MSHA APPENDIX EE,CONDITIONAL_REAL
EE-125,P-20 equipment and shoreline damage,B032;B033,B,UNKNOWN ITEM-LEVEL / MSHA APPENDIX EE,CONDITIONAL_REAL
EE-126,Crater development with barges,B031;B033,A,UNKNOWN ITEM-LEVEL / MSHA APPENDIX EE,CONDITIONAL_REAL
EE-127,Drained lakebed / barge movement toward crater,B035;B043,A,UNKNOWN ITEM-LEVEL / MSHA APPENDIX EE,CONDITIONAL_REAL
EE-128,Delcambre Canal flowing into Lake Peigneur,B051;B052,A,UNKNOWN ITEM-LEVEL / MSHA APPENDIX EE,CONDITIONAL_REAL
EE-129,Closer Delcambre Canal inflow,B053;B054;B055,A,UNKNOWN ITEM-LEVEL / MSHA APPENDIX EE,CONDITIONAL_REAL
EE-130,Mud/water discharge at old air shaft,B044;B047,A,UNKNOWN ITEM-LEVEL / MSHA APPENDIX EE,CONDITIONAL_REAL
EE-131,Additional surface subsidence,B036,B,UNKNOWN ITEM-LEVEL / MSHA APPENDIX EE,CONDITIONAL_REAL
EE-135,Late-afternoon aftermath panorama,B060;B075,B,UNKNOWN ITEM-LEVEL / MSHA APPENDIX EE,CONDITIONAL_REAL
EE-136,Old air shaft aerial context,B020;B063,B/C,UNKNOWN ITEM-LEVEL / MSHA APPENDIX EE,CONDITIONAL_REAL
EE-137,Air shaft/headframe/cage,B010;B024,B,UNKNOWN ITEM-LEVEL / MSHA APPENDIX EE,CONDITIONAL_REAL
EE-138,Production shaft / debris,B059;B076,B,UNKNOWN ITEM-LEVEL / MSHA APPENDIX EE,CONDITIONAL_REAL
