section,beats,shots,real_archive,real_context,document,map_gfx,editor_gfx,reconstruction_generate,notes
0,B001-B006,12,1,0,1,3,2,5,"Cold open alternates authentic pre-event evidence, drilling/mine reconstruction, location geometry and one short evidence excerpt"
1,B007-B015,17,2,0,1,3,6,5,"Build salt-dome/mining world visually; document only as brief proof, not full beat"
2,B016-B020,11,0,0,1,2,3,5,"Stuck drill and first inflow become cinematic/technical sequence"
3,B021-B029,20,1,0,2,2,4,11,"Evacuation is character/action-driven; documents limited to 52-person and official-recognition evidence"
4,B030-B036,15,7,0,0,1,1,6,"Use strongest Appendix EE collapse frames, with generated connective shots to avoid slideshow repetition"
5,B037-B042,11,0,0,0,0,9,2,"Dissolution feedback primarily editor-native technical graphics; two cinematic salt/water detail frames"
6,B043-B049,13,2,0,0,2,6,3,"Coupled lake/mine system; archive evidence + cross-section graphics + limited reconstructions"
7,B050-B055,12,4,0,0,3,3,2,"Canal reversal uses EE-128/129 and maps; no fake exact waterfall recreation"
8,B056-B060,10,3,1,1,0,2,3,"Aftermath and zero-fatality beat; one federal proof moment"
9,B061-B069,18,1,0,4,5,5,3,"Forensic chapter keeps only indispensable primary-source evidence; rest becomes spatial comparison and reconstruction"
10,B070-B076,13,2,0,2,0,5,4,"Settlements/jobs: two short legal evidence shots, typography/industrial aftermath, no PDF wall"
11,B077-B080,8,0,2,0,2,4,0,"Modern industrial afterlife via current context, salt-cavern GFX and pipeline map"
12,B081-B087,14,2,2,0,3,5,2,"Ending callbacks mix archive/current/map/GFX; no document pages"
TOTAL,87,174,25,5,12,26,55,51,"Production shot target; shots are not equal to unique assets"
