index,start,end,word,mode,confidence,chunk
1,1119.920,1120.140,What,exact,0.6455,4
2,1120.140,1120.280,do,exact,0.9341,4
3,1120.280,1120.380,you,exact,0.997,4
4,1120.380,1120.820,do,exact,0.9981,4
5,1120.820,1121.080,with,exact,0.9847,4
6,1121.080,1121.660,twenty-seven,interp,0.0,4
7,1121.660,1122.120,million,exact,0.9739,4
8,1122.120,1122.620,pounds,exact,0.9912,4
9,1122.620,1122.960,of,exact,0.9975,4
10,1122.960,1123.420,industrial,exact,0.9774,4
11,1123.420,1124.140,machinery,exact,0.9994,4
12,1124.140,1124.880,after,exact,0.794,4
13,1124.880,1125.200,nobody,exact,0.9863,4
14,1125.200,1125.620,needs,exact,0.9915,4
15,1125.620,1125.820,the,exact,0.9953,4
16,1125.820,1126.320,job,exact,0.9969,4
17,1126.320,1126.520,it,exact,0.9836,4
18,1126.520,1126.720,was,exact,0.9983,4
19,1126.720,1127.100,built,exact,0.9993,4
20,1127.100,1127.340,to,exact,0.9984,4
21,1127.340,1128.020,do,exact,0.9983,4
22,1128.600,1128.820,For,exact,0.9901,4
23,1128.820,1129.280,years,exact,0.9975,4
24,1129.480,1129.520,Big,exact,0.7947,4
25,1129.520,1129.940,Muskie,interp,0.0,4
26,1129.940,1130.440,remained,exact,0.999,4
27,1130.440,1130.680,in,exact,0.9963,4
28,1130.680,1131.220,Ohio,exact,0.992,4
29,1131.940,1132.040,It,exact,0.9962,4
30,1132.040,1132.220,no,exact,0.9985,4
31,1132.220,1132.440,longer,exact,0.9998,4
32,1132.440,1132.800,performed,exact,0.9912,4
33,1132.800,1133.020,the,exact,0.9919,4
34,1133.020,1133.460,job,exact,0.9988,4
35,1133.460,1133.660,for,exact,0.9805,4
36,1133.660,1133.860,which,exact,0.9991,4
37,1133.860,1134.040,it,exact,0.9982,4
38,1134.040,1134.180,had,exact,0.9965,4
39,1134.180,1134.400,been,exact,0.9942,4
40,1134.400,1134.900,built,exact,0.9991,4
41,1135.480,1135.700,But,exact,0.9963,4
42,1135.700,1135.920,the,exact,0.9976,4
43,1135.920,1136.180,machine,exact,0.8416,4
44,1136.180,1136.660,still,exact,0.9983,4
45,1136.660,1137.300,created,exact,0.998,4
46,1137.300,1138.080,obligations,exact,0.9824,4
47,1139.040,1139.220,The,exact,0.9963,4
48,1139.220,1139.520,land,exact,0.9948,4
49,1139.520,1139.780,had,exact,0.999,4
50,1139.780,1139.900,to,exact,0.9994,4
51,1139.900,1140.140,be,exact,0.9993,4
52,1140.140,1140.660,reclaimed,exact,0.97,4
53,1141.520,1141.720,Mining,exact,0.9638,4
54,1141.720,1142.140,permits,exact,0.9831,4
55,1142.140,1142.680,still,exact,0.9971,4
56,1142.680,1143.060,mattered,exact,0.9174,4
57,1144.360,1144.360,Responsibility,exact,0.9492,4
58,1144.360,1144.840,for,exact,0.997,4
59,1144.840,1145.020,the,exact,0.9988,4
60,1145.020,1145.320,site,exact,0.9586,4
61,1145.320,1145.800,still,exact,0.997,4
62,1145.800,1146.360,existed,exact,0.9993,4
63,1146.360,1147.260,And,exact,0.3863,4
64,1147.260,1147.460,Big,exact,0.776,4
65,1147.460,1147.800,Muskie,interp,0.0,4
66,1147.800,1148.020,was,exact,0.9933,4
67,1148.020,1148.320,far,exact,0.9958,4
68,1148.320,1148.500,too,exact,0.9986,4
69,1148.500,1148.880,large,exact,0.9976,4
70,1148.880,1149.120,to,exact,0.9926,4
71,1149.120,1149.500,treat,exact,0.9909,4
72,1149.500,1149.780,like,exact,0.931,4
73,1149.780,1150.020,an,exact,0.9954,4
74,1150.020,1150.360,ordinary,exact,0.9907,4
75,1150.360,1150.980,museum,exact,0.9605,4
76,1150.980,1151.880,object,exact,0.9941,4
77,1152.600,1152.760,So,exact,0.994,4
78,1152.760,1152.920,if,exact,0.8511,4
79,1152.920,1153.120,Big,exact,0.9817,4
80,1153.120,1153.440,Muskie,interp,0.0,4
81,1153.440,1153.740,was,exact,0.9992,4
82,1153.740,1154.060,already,exact,0.9974,4
83,1154.060,1154.760,historic,exact,0.9757,4
84,1155.340,1155.560,why,exact,0.9876,4
85,1155.560,1155.820,not,exact,0.999,4
86,1155.820,1156.240,preserve,exact,0.9916,4
87,1156.240,1156.520,the,exact,0.9978,4
88,1156.520,1156.740,whole,exact,0.9945,4
89,1156.740,1157.420,machine,exact,0.9972,4
90,1158.720,1158.720,People,exact,0.9849,4
91,1158.720,1159.280,tried,exact,0.9939,4
92,1160.020,1160.340,But,exact,0.9963,4
93,1160.340,1161.080,AEP's,exact,0.883,4
94,1161.080,1161.460,own,exact,0.9767,4
95,1161.460,1162.200,1999,exact,0.9638,4
96,1162.200,1162.980,announcement,exact,0.995,4
97,1162.980,1163.620,describes,exact,0.9833,4
98,1163.620,1163.920,a,exact,0.9919,4
99,1163.920,1164.320,much,exact,0.9863,4
100,1164.320,1164.660,harder,exact,0.9957,4
101,1164.660,1165.400,reality,exact,0.9982,4
102,1166.600,1166.600,Preservation,exact,0.8599,4
103,1166.600,1167.480,needed,exact,0.9967,4
104,1167.480,1167.900,a,exact,0.9907,4
105,1167.900,1168.280,real,exact,0.9827,4
106,1168.280,1168.880,plan,exact,0.9985,4
107,1169.360,1169.400,It,exact,0.9898,4
108,1169.400,1169.680,needed,exact,0.9986,4
109,1169.680,1170.260,funding,exact,0.9955,4
110,1170.820,1170.980,It,exact,0.9969,4
111,1170.980,1171.240,had,exact,0.9982,4
112,1171.240,1171.320,to,exact,0.9987,4
113,1171.320,1171.540,fit,exact,0.9996,4
114,1171.540,1171.840,within,exact,0.9927,4
115,1171.840,1172.080,the,exact,0.9984,4
116,1172.080,1172.520,reclamation,exact,0.8683,4
117,1172.520,1173.220,schedule,exact,0.9946,4
118,1173.220,1174.200,And,exact,0.6065,4
119,1174.200,1174.480,someone,exact,0.9425,4
120,1174.480,1174.760,had,exact,0.996,4
121,1174.760,1175.000,to,exact,0.9977,4
122,1175.000,1175.300,accept,exact,0.9975,4
123,1175.300,1176.040,long-term,interp,0.0,4
124,1176.040,1176.440,legal,exact,0.987,4
125,1176.440,1177.260,responsibility,exact,0.9965,4
126,1177.260,1177.880,for,exact,0.9911,4
127,1177.880,1178.080,the,exact,0.9966,4
128,1178.080,1178.500,machine,exact,0.9827,4
129,1178.500,1179.020,and,exact,0.9219,4
130,1179.020,1179.220,the,exact,0.9978,4
131,1179.220,1179.560,land,exact,0.9943,4
132,1179.560,1179.840,beneath,exact,0.9986,4
133,1179.840,1180.220,it,exact,0.9989,4
134,1181.200,1181.620,AEP,exact,0.688,4
135,1181.620,1181.860,said,exact,0.9975,4
136,1181.860,1182.000,there,exact,0.9473,4
137,1182.000,1182.120,was,exact,0.9975,4
138,1182.120,1182.320,not,exact,0.9961,4
139,1182.320,1182.580,enough,exact,0.9976,4
140,1182.580,1182.940,time,exact,0.9996,4
141,1182.940,1183.120,and,exact,0.9973,4
142,1183.120,1183.480,money,exact,0.9998,4
143,1183.480,1183.880,to,exact,0.9916,4
144,1183.880,1184.220,create,exact,0.9915,4
145,1184.220,1184.540,that,exact,0.9939,4
146,1184.540,1185.000,solution,exact,0.9989,4
147,1185.000,1185.320,within,exact,0.9933,4
148,1185.320,1185.580,the,exact,0.9982,4
149,1185.580,1185.960,required,exact,0.997,4
150,1185.960,1186.440,schedule,exact,0.9876,4
151,1187.160,1187.320,The,exact,0.9895,4
152,1187.320,1187.900,liability,exact,0.9907,4
153,1187.900,1188.540,did,exact,0.9894,4
154,1188.540,1188.920,not,exact,0.9997,4
155,1188.920,1189.520,disappear,exact,0.9984,4
156,1190.540,1190.720,So,exact,0.993,4
157,1190.720,1191.080,in,exact,0.8428,4
158,1191.080,1191.800,1999,exact,0.9881,4
159,1192.320,1192.380,Big,exact,0.85,4
160,1192.380,1192.760,Muskie,interp,0.0,4
161,1192.760,1193.140,was,exact,0.9981,4
162,1193.140,1193.600,dismantled,exact,0.9966,4
163,1194.280,1194.520,Not,exact,0.997,4
164,1194.520,1194.800,because,exact,0.9985,4
165,1194.800,1195.180,nobody,exact,0.9971,4
166,1195.180,1195.620,understood,exact,0.9989,4
167,1195.620,1195.900,that,exact,0.9786,4
168,1195.900,1196.020,it,exact,0.9975,4
169,1196.020,1196.320,was,exact,0.9992,4
170,1196.320,1196.780,historic,exact,0.9956,4
171,1196.780,1197.580,But,exact,0.471,4
172,1197.580,1198.020,because,exact,0.9537,4
173,1198.020,1198.500,preserving,exact,0.9941,4
174,1198.500,1199.280,twenty-seven,interp,0.0,4
175,1199.280,1199.700,million,exact,0.9789,4
176,1199.700,1200.140,pounds,exact,0.989,4
177,1200.140,1200.400,of,exact,0.9981,4
178,1200.400,1200.840,industrial,exact,0.9873,4
179,1200.840,1201.560,infrastructure,exact,0.998,4
180,1201.560,1202.280,was,exact,0.9615,4
181,1202.280,1202.880,itself,exact,0.9631,4
182,1202.880,1203.500,an,exact,0.9449,4
183,1203.500,1204.500,industrial-scale,interp,0.0,4
184,1204.500,1205.220,project,exact,0.9983,4
185,1205.920,1206.080,In,exact,0.9542,4
186,1206.080,1206.220,the,exact,0.9986,4
187,1206.220,1206.720,end,exact,0.9996,4
188,1206.720,1207.000,they,exact,0.8394,4
189,1207.000,1207.240,saved,exact,0.9656,4
190,1207.240,1207.480,the,exact,0.9956,4
191,1207.480,1207.660,part,exact,0.9541,4
192,1207.660,1207.840,that,exact,0.9954,4
193,1207.840,1208.080,could,exact,0.9975,4
194,1208.080,1208.280,still,exact,0.9861,4
195,1208.280,1208.640,become,exact,0.9979,4
196,1208.640,1208.780,a,exact,0.9949,4
197,1208.780,1209.220,monument,exact,0.9893,4
198,1209.920,1210.040,The,exact,0.9762,4
199,1210.040,1210.340,bucket,exact,0.9108,4
200,1211.200,1211.500,And,exact,0.9959,4
201,1211.500,1211.780,suddenly,exact,0.9967,4
202,1211.780,1212.100,the,exact,0.9697,4
203,1212.100,1212.440,story,exact,0.9938,4
204,1212.440,1212.880,comes,exact,0.995,4
205,1212.880,1213.240,full,exact,0.9929,4
206,1213.240,1213.680,circle,exact,0.98,4
207,1214.520,1214.700,The,exact,0.9924,4
208,1214.700,1215.040,machine,exact,0.9929,4
209,1215.040,1215.280,had,exact,0.9853,4
210,1215.280,1215.500,once,exact,0.9991,4
211,1215.500,1215.780,been,exact,0.9908,4
212,1215.780,1216.000,built,exact,0.9994,4
213,1216.000,1216.340,around,exact,0.997,4
214,1216.340,1216.680,that,exact,0.9972,4
215,1216.680,1217.060,bucket,exact,0.9972,4
216,1217.920,1218.180,In,exact,0.9962,4
217,1218.180,1218.800,1999,exact,0.9924,4
218,1218.800,1219.600,the,exact,0.4842,4
219,1219.600,1219.960,machine,exact,0.998,4
220,1219.960,1220.500,disappeared,exact,0.9992,4
221,1220.500,1221.200,and,exact,0.6655,4
222,1221.200,1221.460,the,exact,0.9988,4
223,1221.460,1221.900,bucket,exact,0.9974,4
224,1221.900,1222.460,remained,exact,0.9945,4
225,1222.460,1223.520,The,exact,0.3268,4
226,1223.520,1223.920,machine,exact,0.7436,4
227,1223.920,1224.240,house,exact,0.5937,4
228,1224.240,1224.460,was,exact,0.9922,4
229,1224.460,1224.960,gone,exact,0.9956,4
230,1225.300,1225.500,The,exact,0.9723,4
231,1225.500,1225.780,boom,exact,0.9666,4
232,1225.780,1226.080,was,exact,0.9953,4
233,1226.080,1226.520,gone,exact,0.9978,4
234,1226.940,1227.060,The,exact,0.9928,4
235,1227.060,1227.300,tub,exact,0.7997,4
236,1227.300,1227.540,was,exact,0.9965,4
237,1227.540,1228.060,gone,exact,0.9986,4
238,1228.500,1228.600,The,exact,0.9954,4
239,1228.600,1229.040,hoist,exact,0.9784,4
240,1229.300,1229.640,drag,exact,0.976,4
241,1229.640,1229.980,and,exact,0.7186,4
242,1229.980,1230.280,swing,exact,0.9946,4
243,1230.280,1230.760,systems,exact,0.9884,4
244,1230.760,1231.020,were,exact,0.9912,4
245,1231.020,1231.560,gone,exact,0.999,4
246,1232.000,1232.180,The,exact,0.9879,4
247,1232.180,1232.480,drive,exact,0.9361,4
248,1232.480,1232.800,motors,exact,0.9189,4
249,1232.800,1233.060,no,exact,0.9974,4
250,1233.060,1233.280,longer,exact,0.9994,4
251,1233.280,1233.640,moved,exact,0.9886,4
252,1233.640,1234.220,anything,exact,0.9874,4
253,1235.140,1235.360,What,exact,0.9822,4
254,1235.360,1235.840,survived,exact,0.9292,4
255,1235.840,1236.080,in,exact,0.9853,4
256,1236.080,1236.360,public,exact,0.9448,4
257,1236.360,1236.880,view,exact,0.9979,4
258,1236.880,1237.320,was,exact,0.9685,4
259,1237.320,1237.580,the,exact,0.9895,4
260,1237.580,1237.800,part,exact,0.9941,4
261,1237.800,1237.960,that,exact,0.9835,4
262,1237.960,1238.260,had,exact,0.9851,4
263,1238.260,1238.640,physically,exact,0.9968,4
264,1238.640,1238.940,entered,exact,0.9944,4
265,1238.940,1239.220,the,exact,0.9958,4
266,1239.220,1239.600,earth,exact,0.7892,4
267,1239.600,1239.980,for,exact,0.9954,4
268,1239.980,1240.180,more,exact,0.9973,4
269,1240.180,1240.380,than,exact,0.9982,4
270,1240.380,1240.680,two,exact,0.9167,4
271,1240.680,1241.300,decades,exact,0.9992,4
272,1242.220,1242.260,A,exact,0.9893,4
273,1242.260,1242.560,strange,exact,0.9976,4
274,1242.560,1242.940,ending,exact,0.997,4
275,1242.940,1243.160,for,interp,0.0,4
276,1243.160,1243.340,a,exact,0.9484,4
277,1243.340,1243.680,machine,exact,0.9949,4
278,1243.680,1244.060,that,exact,0.9968,4
279,1244.060,1244.240,could,exact,0.9929,4
280,1244.240,1244.400,never,exact,0.9947,4
281,1244.400,1244.660,be,exact,0.9973,4
282,1244.660,1244.980,understood,exact,0.9904,4
283,1244.980,1245.320,from,exact,0.9965,4
284,1245.320,1245.640,one,exact,0.9988,4
285,1245.640,1246.180,component,exact,0.9988,4
286,1246.880,1247.140,But,exact,0.9977,4
287,1247.140,1247.600,almost,exact,0.998,4
288,1247.600,1247.880,the,exact,0.9954,4
289,1247.880,1248.420,perfect,exact,0.9969,4
290,1248.420,1248.920,object,exact,0.1327,4
291,1248.920,1249.280,for,exact,0.9783,4
292,1249.280,1249.840,memory,exact,0.9942,4
293,1250.640,1250.860,Because,exact,0.9834,4
294,1250.860,1251.020,you,exact,0.9905,4
295,1251.020,1251.180,do,exact,0.9898,4
296,1251.180,1251.360,not,exact,0.9955,4
297,1251.360,1251.620,need,exact,0.9937,4
298,1251.620,1251.740,to,exact,0.9964,4
299,1251.740,1251.900,know,exact,0.9953,4
300,1251.900,1252.100,a,exact,0.9976,4
301,1252.100,1252.420,single,exact,0.9994,4
302,1252.420,1253.180,specification,exact,0.9959,4
303,1253.180,1253.840,to,exact,0.9211,4
304,1253.840,1254.020,look,exact,0.999,4
305,1254.020,1254.160,at,exact,0.9988,4
306,1254.160,1254.440,that,exact,0.9932,4
307,1254.440,1254.700,bucket,exact,0.9954,4
308,1254.700,1255.240,and,exact,0.9607,4
309,1255.240,1255.840,understand,exact,0.9961,4
310,1255.840,1256.340,one,exact,0.9935,4
311,1256.340,1257.040,thing,exact,0.9993,4
312,1257.860,1257.860,Whatever,exact,0.9388,4
313,1257.860,1258.280,carried,exact,0.9791,4
314,1258.280,1258.820,it,exact,0.9933,4
315,1258.820,1259.240,had,exact,0.8111,4
316,1259.240,1259.440,to,exact,0.9957,4
317,1259.440,1260.000,be,exact,0.9992,4
318,1260.000,1260.700,enormous,exact,0.9872,4
319,1261.880,1262.140,Today,exact,0.9818,4
320,1262.140,1262.440,Big,exact,0.3851,4
321,1262.440,1263.480,Muskie's,interp,0.0,4
322,1263.480,1263.480,bucket,exact,0.7982,4
323,1263.480,1264.080,stands,exact,0.9825,4
324,1264.080,1264.380,at,exact,0.9971,4
325,1264.380,1264.780,Miners,exact,0.5034,4
326,1264.780,1265.320,Memorial,exact,0.9341,4
327,1265.320,1265.980,Park,exact,0.9884,4
328,1265.980,1266.330,Two,interp,0.0,4
329,1266.330,1266.680,hundred,interp,0.0,4
330,1266.680,1267.030,and,interp,0.0,4
331,1267.030,1267.380,twenty,interp,0.0,4
332,1267.380,1267.920,cubic,exact,0.983,4
333,1267.920,1268.600,yards,exact,0.9973,4
334,1269.540,1269.540,Roughly,exact,0.9949,4
335,1269.540,1269.787,two,interp,0.0,4
336,1269.787,1270.033,hundred,interp,0.0,4
337,1270.033,1270.280,forty,interp,0.0,4
338,1270.280,1270.920,tons,exact,0.7308,4
339,1270.920,1271.540,empty,exact,0.9282,4
340,1272.380,1272.560,The,exact,0.9954,4
341,1272.560,1272.780,full,exact,0.9886,4
342,1272.780,1273.080,machine,exact,0.9969,4
343,1273.080,1273.340,is,exact,0.9987,4
344,1273.340,1273.520,no,exact,0.9981,4
345,1273.520,1273.760,longer,exact,0.9995,4
346,1273.760,1274.120,needed,exact,0.9986,4
347,1274.120,1274.500,to,exact,0.9958,4
348,1274.500,1274.720,make,exact,0.9991,4
349,1274.720,1274.980,the,exact,0.9974,4
350,1274.980,1275.360,scale,exact,0.9962,4
351,1275.360,1275.720,feel,exact,0.996,4
352,1275.720,1276.260,physical,exact,0.9959,4
