prompt_id,beat_id,start,end,asset_class,prompt_grammar,production_route,required_reference_packages,reference_gate,overlay_plan,v3_status,cost_if_generated_credits,v3_prompt
SAT-GEN001,SAT-B002,00:00:07.420,00:00:18.360,AI_RECONSTRUCTION,CONSTRUCTION_PHASE,REFERENCE_CONDITIONED_GENERATION,R02+R03,BLOCKED_UNTIL_REAL_MEDIA_IDS_ATTACHED,14% / 1982,READY_FOR_TARGETED_VALIDATION_NOT_AUTHORIZED,0.5,"SUBJECT AND COMPOSITION: Foundation-only close shot: two surveyors beside low concrete footings and sparse rebar, forest horizon soft and distant. Frame below the skyline so no reactor building, tower, switchyard or site layout can be invented. EVIDENCE BOUNDARY: Match only the supplied reference media for identifiable geometry. If those media are absent, do not submit this job. Do not infer unseen buildings, roads, water, machinery or site relationships. Create one restrained 16:9 documentary frame with a clear primary subject and no competing secondary story. Use realistic materials, neutral natural light and a calm lower 15 percent for captions. Never render words, dates, numbers, logos, maps, arrows, diagrams, captions or document text. No nuclear glow, operating steam, disaster imagery, active reactor, completed Satsop plant, faux archival damage or cinematic spectacle."
SAT-GEN002,SAT-B003,00:00:18.360,00:00:30.600,AI_RECONSTRUCTION,SITE_IDENTITY,REFERENCE_CONDITIONED_GENERATION,R01+R02,BLOCKED_UNTIL_REAL_MEDIA_IDS_ATTACHED,74% / preserved to 1994,READY_FOR_TARGETED_VALIDATION_NOT_AUTHORIZED,0.5,"SUBJECT AND COMPOSITION: Preservation-era exterior detail controlled by the supplied Project Three photographs: crop to the verified cooling-tower base, unfinished wall junction and sealed access point. Do not show or invent a reactor dome or a complete site panorama. EVIDENCE BOUNDARY: Match only the supplied reference media for identifiable geometry. If those media are absent, do not submit this job. Do not infer unseen buildings, roads, water, machinery or site relationships. Create one restrained 16:9 documentary frame with a clear primary subject and no competing secondary story. Use realistic materials, neutral natural light and a calm lower 15 percent for captions. Never render words, dates, numbers, logos, maps, arrows, diagrams, captions or document text. No nuclear glow, operating steam, disaster imagery, active reactor, completed Satsop plant, faux archival damage or cinematic spectacle."
SAT-GEN003,SAT-B004,00:00:30.600,00:00:38.040,AI_RECONSTRUCTION_MAP,MAP_BASE,EDITORIAL_GFX_BASE_ONLY,R02,EDITORIAL_BUILD_NO_IMAGE_JOB,P3 / P5 / NEVER OPERATED,READY_FOR_TARGETED_VALIDATION_NOT_AUTHORIZED,0.0,"EDITORIAL BUILD BRIEF FOR SAT-B004: Build a flat, unlabeled charcoal-and-warm-paper map canvas with an empty plot area. Add all coastlines, rivers, roads, boundaries, site footprints and labels later as authenticated vectors. Reserve the factual overlay lane for: P3 / P5 / NEVER OPERATED. EVIDENCE BOUNDARY: This is an editor-built non-factual design plate. It must contain no geographic, architectural, engineering or numeric claim; all evidence comes from deterministic editorial vectors."
SAT-GEN004,SAT-B005,00:00:38.040,00:00:53.800,AI_RECONSTRUCTION_MAP,MAP_BASE,EDITORIAL_GFX_BASE_ONLY,R01+R02,EDITORIAL_BUILD_NO_IMAGE_JOB,1982 → 1994,READY_FOR_TARGETED_VALIDATION_NOT_AUTHORIZED,0.0,"EDITORIAL BUILD BRIEF FOR SAT-B005: Build a flat, unlabeled charcoal-and-warm-paper map canvas with an empty plot area. Add all coastlines, rivers, roads, boundaries, site footprints and labels later as authenticated vectors. Reserve the factual overlay lane for: 1982 → 1994. EVIDENCE BOUNDARY: This is an editor-built non-factual design plate. It must contain no geographic, architectural, engineering or numeric claim; all evidence comes from deterministic editorial vectors."
SAT-GEN005,SAT-B006,00:00:53.800,00:01:02.800,AI_RECONSTRUCTION,INSTITUTIONAL,CONTROLLED_TEXT_GENERATION,R03,TEXT_ONLY_ALLOWED_AFTER_SMALL_BATCH_APPROVAL,JAN 22 1982 / P4+P5 TERMINATED,READY_FOR_TARGETED_VALIDATION_NOT_AUTHORIZED,0.5,"SUBJECT AND COMPOSITION: January 1982 utility-board decision room after a vote: closed folders, empty chairs and a stopped-project site photograph on an easel; no readable invented documents. EVIDENCE BOUNDARY: This is an explicitly interpretive reconstruction. Avoid identifiable real people and keep every document surface blank for editorial replacement. Create one restrained 16:9 documentary frame with a clear primary subject and no competing secondary story. Use realistic materials, neutral natural light and a calm lower 15 percent for captions. Never render words, dates, numbers, logos, maps, arrows, diagrams, captions or document text. No nuclear glow, operating steam, disaster imagery, active reactor, completed Satsop plant, faux archival damage or cinematic spectacle."
SAT-GEN006,SAT-B011,00:01:39.380,00:01:53.080,AI_RECONSTRUCTION,CONSTRUCTION_PHASE,REFERENCE_CONDITIONED_GENERATION,R02+R03,BLOCKED_UNTIL_REAL_MEDIA_IDS_ATTACHED,14% / rising estimate,READY_FOR_TARGETED_VALIDATION_NOT_AUTHORIZED,0.5,"SUBJECT AND COMPOSITION: Tight ground-level view of a single early foundation bay, stacked rebar and stopped formwork with large surrounding emptiness. No skyline, reactor building, cooling tower or invented Project Five geography. EVIDENCE BOUNDARY: Match only the supplied reference media for identifiable geometry. If those media are absent, do not submit this job. Do not infer unseen buildings, roads, water, machinery or site relationships. Create one restrained 16:9 documentary frame with a clear primary subject and no competing secondary story. Use realistic materials, neutral natural light and a calm lower 15 percent for captions. Never render words, dates, numbers, logos, maps, arrows, diagrams, captions or document text. No nuclear glow, operating steam, disaster imagery, active reactor, completed Satsop plant, faux archival damage or cinematic spectacle."
SAT-GEN007,SAT-B012,00:01:53.080,00:02:02.480,AI_RECONSTRUCTION,FINANCIAL_METAPHOR,CONTROLLED_TEXT_GENERATION,R03,TEXT_ONLY_ALLOWED_AFTER_SMALL_BATCH_APPROVAL,PROMISE TO PAY / REWIND,READY_FOR_TARGETED_VALIDATION_NOT_AUTHORIZED,0.5,"SUBJECT AND COMPOSITION: A period utility desk where a signed payment obligation in the foreground visually blocks the road toward the distant unfinished site; documents remain blank for editorial replacement. EVIDENCE BOUNDARY: This is an explicitly interpretive reconstruction. Avoid identifiable real people and keep every document surface blank for editorial replacement. Create one restrained 16:9 documentary frame with a clear primary subject and no competing secondary story. Use realistic materials, neutral natural light and a calm lower 15 percent for captions. Never render words, dates, numbers, logos, maps, arrows, diagrams, captions or document text. No nuclear glow, operating steam, disaster imagery, active reactor, completed Satsop plant, faux archival damage or cinematic spectacle."
SAT-GEN008,SAT-B015,00:02:22.220,00:02:35.380,AI_RECONSTRUCTION,PLANNING_ROOM,CONTROLLED_TEXT_GENERATION,R03+R05,TEXT_ONLY_ALLOWED_AFTER_SMALL_BATCH_APPROVAL,5 PROJECTS,READY_FOR_TARGETED_VALIDATION_NOT_AUTHORIZED,0.5,"SUBJECT AND COMPOSITION: 1969 regional planning room with five separate plant models arranged around a Pacific Northwest wall map, small staff dwarfed by the expansion plan; no modern screens. EVIDENCE BOUNDARY: This is an explicitly interpretive reconstruction. Avoid identifiable real people and keep every document surface blank for editorial replacement. Create one restrained 16:9 documentary frame with a clear primary subject and no competing secondary story. Use realistic materials, neutral natural light and a calm lower 15 percent for captions. Never render words, dates, numbers, logos, maps, arrows, diagrams, captions or document text. No nuclear glow, operating steam, disaster imagery, active reactor, completed Satsop plant, faux archival damage or cinematic spectacle."
SAT-GEN009,SAT-B016,00:02:35.380,00:02:45.170,AI_RECONSTRUCTION,WORKFORCE_SCALE,CONTROLLED_TEXT_GENERATION,R03,TEXT_ONLY_ALLOWED_AFTER_SMALL_BATCH_APPROVAL,"<100 → 1,471",READY_FOR_TARGETED_VALIDATION_NOT_AUTHORIZED,0.5,"SUBJECT AND COMPOSITION: Diptych base: a modest pre-1968 utility office on the left and a crowded 1979 engineering floor on the right, matched camera height and blank center for exact employee numbers. EVIDENCE BOUNDARY: This is an explicitly interpretive reconstruction. Avoid identifiable real people and keep every document surface blank for editorial replacement. Create one restrained 16:9 documentary frame with a clear primary subject and no competing secondary story. Use realistic materials, neutral natural light and a calm lower 15 percent for captions. Never render words, dates, numbers, logos, maps, arrows, diagrams, captions or document text. No nuclear glow, operating steam, disaster imagery, active reactor, completed Satsop plant, faux archival damage or cinematic spectacle."
SAT-GEN010,SAT-B017,00:02:45.170,00:03:01.300,AI_RECONSTRUCTION,PORTFOLIO_SYSTEM,CONTROLLED_TEXT_GENERATION,R03+R05,TEXT_ONLY_ALLOWED_AFTER_SMALL_BATCH_APPROVAL,portfolio competition,READY_FOR_TARGETED_VALIDATION_NOT_AUTHORIZED,0.5,"SUBJECT AND COMPOSITION: Five distinct project worktables competing for the same limited pool of engineers, contractor schedules, component crates and permit trays in one overhead institutional composition. EVIDENCE BOUNDARY: This is an explicitly interpretive reconstruction. Avoid identifiable real people and keep every document surface blank for editorial replacement. Create one restrained 16:9 documentary frame with a clear primary subject and no competing secondary story. Use realistic materials, neutral natural light and a calm lower 15 percent for captions. Never render words, dates, numbers, logos, maps, arrows, diagrams, captions or document text. No nuclear glow, operating steam, disaster imagery, active reactor, completed Satsop plant, faux archival damage or cinematic spectacle."
